Job Title,Status,Gender,Annual Salary Bin,
Behavioral Health Clinician,F,female,> 90K,
Transit Car Cleaner,F,female,> 90K,
Transit Operator,F,male,> 90K,
Firefighter,F,male,> 90K,
Assistant Engineer,F,male,> 90K,
Assistant Engineer,F,male,> 90K,
Transit Operator,F,female,> 90K,
Special Nurse,P,male,> 90K,
Transit Operator,F,female,> 90K,
Manager III,F,male,> 90K,
Transit Operator,F,female,> 90K,
Hospital Eligibility Worker,F,male,> 90K,
Police Officer,F,male,> 90K,
Stationary Engineer,F,male,> 90K,
Transit Operator,F,male,> 90K,
Deputy Sheriff (SFERS),F,male,> 90K,
IS Business Analyst-Senior,F,male,> 90K,
Licensed Vocational Nurse,F,female,> 90K,
Transit Operator,F,male,> 90K,
Special Nurse,P,female,> 90K,
Police Officer,F,male,> 90K,
General Laborer,F,male,> 90K,
Senior Administrative Analyst,F,female,> 90K,
Police Officer,F,male,> 90K,
Assistant Engineer,F,female,> 90K,
Transit Operator,F,female,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,male,> 90K,
Senior Administrative Analyst,F,female,> 90K,
Electrical Transit System Mech,F,male,> 90K,
Police Officer,F,male,> 90K,
Firefighter,F,male,> 90K,
Assistant Engineer,F,male,> 90K,
Transit Operator,F,male,> 90K,
Public SafetyComm Disp,F,female,> 90K,
Special Nurse,F,female,> 90K,
Senior Human Resources Analyst,F,male,> 90K,
Transit Operator,F,male,> 90K,
Assistant Engineer,F,male,> 90K,
Administrative Analyst,F,female,> 90K,
Truck Driver,F,male,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,male,> 90K,
Assistant Engineer,F,female,> 90K,
Stationary Engineer,F,male,> 90K,
Transit Operator,F,female,> 90K,
Firefighter,F,male,> 90K,
Transit Operator,F,female,> 90K,
Police Officer,F,male,> 90K,
Automotive Mechanic,F,male,> 90K,
Registered Nurse,P,female,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,male,> 90K,
Electrical Transit System Mech,F,male,> 90K,
Special Nurse,P,male,> 90K,
Transit Operator,F,male,> 90K,
Administrative Analyst,F,female,> 90K,
Police Officer,F,male,> 90K,
Transit Operator,F,male,> 90K,
Electrical Transit System Mech,F,male,> 90K,
Automotive Mechanic,F,male,> 90K,
Stationary Engineer,F,male,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,male,> 90K,
Public SafetyComm Disp,F,male,> 90K,
Assistant Engineer,F,male,> 90K,
Senior Human Resources Analyst,F,male,> 90K,
Police Officer,F,male,> 90K,
Porter,F,male,> 90K,
Firefighter,F,male,> 90K,
Police Officer,F,male,> 90K,
Firefighter,F,male,> 90K,
Truck Driver,F,male,> 90K,
Senior Administrative Analyst,F,female,> 90K,
Special Nurse,P,female,> 90K,
Truck Driver,F,male,> 90K,
Electrical Transit System Mech,F,male,> 90K,
Automotive Service Worker,F,male,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,male,> 90K,
Administrative Analyst,F,female,> 90K,
Senior Administrative Analyst,F,male,> 90K,
Senior Human Resources Analyst,F,female,> 90K,
Senior Administrative Analyst,F,male,> 90K,
Protective Services Worker,F,male,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,male,> 90K,
Assistant Engineer,F,female,> 90K,
Police Officer,F,male,> 90K,
General Laborer,F,male,> 90K,
Patient Care Assistant,F,female,> 90K,
Senior Account Clerk,F,female,> 90K,
Public SafetyComm Disp,F,female,> 90K,
Truck Driver,F,male,> 90K,
Stationary Eng Sewage Plant,F,female,> 90K,
Registered Nurse,P,female,> 90K,
Police Officer,F,male,> 90K,
Registered Nurse,P,female,> 90K,
Electrical Transit System Mech,F,male,> 90K,
Senior Administrative Analyst,F,female,> 90K,
Stationary Engineer,F,male,> 90K,
Stationary Engineer,F,male,> 90K,
Senior Administrative Analyst,F,male,> 90K,
Transit Operator,F,female,> 90K,
Special Nurse,P,male,> 90K,
Firefighter,F,male,> 90K,
Firefighter,F,male,> 90K,
Manager I,F,female,> 90K,
Police Officer,F,male,> 90K,
Transit Operator,F,female,> 90K,
Firefighter,F,female,> 90K,
EMT/Paramedic/Firefighter,F,female,> 90K,
Automotive Service Worker,F,male,> 90K,
Truck Driver,F,male,> 90K,
Transit Operator,F,male,> 90K,
Pr Administrative Analyst,P,female,> 90K,
Stationary Engineer,F,male,> 90K,
Parking Control Officer,F,male,> 90K,
Police Officer,F,female,> 90K,
Transit Operator,F,female,> 90K,
Licensed Vocational Nurse,F,male,> 90K,
Deputy Sheriff (SFERS),F,male,> 90K,
Gardener,F,male,> 90K,
Assistant Engineer,F,female,> 90K,
Police Officer,F,male,> 90K,
Patient Care Assistant,P,male,> 90K,
General Laborer,F,male,> 90K,
Special Nurse,P,female,> 90K,
Truck Driver,F,male,> 90K,
Senior Administrative Analyst,F,female,> 90K,
Police Officer,F,male,> 90K,
Painter,F,male,> 90K,
Senior Administrative Analyst,F,male,> 90K,
Stationary Engineer,F,male,> 90K,
Transit Operator,F,male,> 90K,
Stationary Engineer,F,male,> 90K,
Transit Supervisor,F,male,> 90K,
Transit Operator,F,male,> 90K,
Assoc Engineer,F,male,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,female,> 90K,
HSA Sr Eligibility Worker,F,female,> 90K,
Manager I,F,female,> 90K,
Transit Operator,F,female,> 90K,
Transit Operator,F,male,> 90K,
Police Officer 3,P,male,> 90K,
Transit Operator,P,male,> 90K,
Museum Guard,F,male,> 90K,
IS Engineer-Senior,F,male,> 90K,
Senior Administrative Analyst,F,male,> 90K,
Transit Operator,F,male,> 90K,
Stationary Engineer,F,male,> 90K,
Manager I,F,male,> 90K,
Registered Nurse,P,female,> 90K,
Painter,F,male,> 90K,
Truck Driver,F,male,> 90K,
Transit Supervisor,F,male,> 90K,
Painter,F,male,> 90K,
Senior Human Resources Analyst,F,male,> 90K,
Transit Car Cleaner,F,male,> 90K,
Transit Operator,F,male,> 90K,
Behavioral Health Clinician,F,female,> 90K,
Firefighter,F,male,> 90K,
Stationary Eng Sewage Plant,F,male,> 90K,
Transit Operator,F,male,> 90K,
Protective Services Worker,F,female,> 90K,
Police Officer,F,male,> 90K,
Transit Operator,F,male,> 90K,
Protective Services Worker,F,female,> 90K,
Transit Operator,F,male,> 90K,
Police Officer,F,male,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,male,> 90K,
Senior Human Resources Analyst,F,male,> 90K,
Police Officer,F,male,> 90K,
Nursing Assistant,F,female,> 90K,
Parking Control Officer,F,male,> 90K,
Truck Driver,F,female,> 90K,
Stationary Engineer,F,male,> 90K,
Registered Nurse,P,female,> 90K,
Senior Human Resources Analyst,F,female,> 90K,
Attorney (Civil/Criminal),F,male,> 90K,
Automotive Mechanic,F,male,> 90K,
Truck Driver,F,male,> 90K,
Special Nurse,P,male,> 90K,
Automotive Mechanic,F,male,> 90K,
Automotive Mechanic,F,male,> 90K,
Behavioral Health Clinician,F,male,> 90K,
Behavioral Health Clinician,F,male,> 90K,
Stationary Engineer,F,male,> 90K,
Protective Services Worker,F,female,> 90K,
Police Officer,F,male,> 90K,
Senior Administrative Analyst,F,male,> 90K,
Police Officer,F,female,> 90K,
Transit Operator,F,male,> 90K,
Senior Administrative Analyst,F,female,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,female,> 90K,
Senior Administrative Analyst,F,male,> 90K,
Assistant Engineer,F,female,> 90K,
Police Officer,F,male,> 90K,
Transit Operator,F,male,> 90K,
Assistant Engineer,F,female,> 90K,
Firefighter,F,male,> 90K,
Registered Nurse,P,female,> 90K,
Transit Operator,F,female,> 90K,
Automotive Service Worker,F,male,> 90K,
Transit Operator,F,male,> 90K,
Assistant Engineer,F,male,> 90K,
Transit Operator,F,female,> 90K,
Automotive Mechanic,F,male,> 90K,
Assoc Engineer,F,male,> 90K,
Transit Operator,F,male,> 90K,
Behavioral Health Clinician,F,female,> 90K,
Assistant Engineer,F,male,> 90K,
Police Officer,F,male,> 90K,
Special Nurse,P,female,> 90K,
Truck Driver,F,male,> 90K,
Police Officer,F,male,> 90K,
Transit Operator,F,male,> 90K,
Senior Administrative Analyst,F,male,> 90K,
Transit Operator,F,female,> 90K,
Transit Operator,F,female,> 90K,
Firefighter,F,male,> 90K,
Transit Operator,F,male,> 90K,
EMT/Paramedic/Firefighter,F,female,> 90K,
IS Engineer-Senior,P,female,> 90K,
Parking Control Officer,F,male,> 90K,
Police Officer,F,male,> 90K,
Assistant Engineer,F,female,> 90K,
Police Officer 3,P,male,> 90K,
Deputy Sheriff (SFERS),F,male,> 90K,
Manager I,F,male,> 90K,
Painter,F,male,> 90K,
Stationary Engineer,F,male,> 90K,
Deputy Sheriff (SFERS),F,male,> 90K,
Transit Operator,F,male,> 90K,
Firefighter,F,male,> 90K,
Truck Driver,F,male,> 90K,
Special Nurse,P,female,> 90K,
Transit Operator,F,male,> 90K,
Nursing Assistant,F,female,> 90K,
Transit Operator,F,male,> 90K,
Police Officer 3,P,male,> 90K,
Transit Operator,F,male,> 90K,
Pr Administrative Analyst,F,female,> 90K,
Police Officer,F,male,> 90K,
Transit Operator,F,male,> 90K,
IS Business Analyst-Principal,P,female,> 90K,
Senior Administrative Analyst,F,female,> 90K,
EMT/Paramedic/Firefighter,P,male,> 90K,
Health Worker 2,F,female,> 90K,
Electrical Transit System Mech,F,male,> 90K,
Licensed Vocational Nurse,F,female,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,male,> 90K,
Transit Supervisor,F,male,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,female,> 90K,
Transit Operator,F,male,> 90K,
Firefighter,F,male,> 90K,
Truck Driver,F,male,> 90K,
Automotive Service Worker,F,male,> 90K,
Transit Operator,F,male,> 90K,
Stationary Eng Sewage Plant,F,male,> 90K,
Firefighter,F,male,> 90K,
Transit Operator,F,female,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,male,> 90K,
Transit Supervisor,F,male,> 90K,
Senior Administrative Analyst,F,male,> 90K,
Special Nurse,P,female,> 90K,
Transit Car Cleaner,F,male,> 90K,
Stationary Eng Sewage Plant,F,male,> 90K,
Electrical Transit System Mech,F,male,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,male,> 90K,
Stationary Engineer,F,male,> 90K,
Automotive Service Worker,F,male,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,female,> 90K,
Assoc Engineer,F,male,> 90K,
Registered Nurse,P,female,> 90K,
Senior Administrative Analyst,F,male,> 90K,
Parking Control Officer,F,male,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,male,> 90K,
Registered Nurse,P,male,> 90K,
Special Nurse,P,female,> 90K,
Senior Administrative Analyst,F,female,> 90K,
Nursing Assistant,F,male,> 90K,
Protective Services Worker,F,female,> 90K,
Transit Operator,F,male,> 90K,
IS Business Analyst-Senior,F,female,> 90K,
Manager I,F,male,> 90K,
Firefighter,F,male,> 90K,
Registered Nurse,P,female,> 90K,
Assoc Engineer,F,male,> 90K,
Registered Nurse,P,female,> 90K,
Firefighter,F,male,> 90K,
Registered Nurse,P,female,> 90K,
Truck Driver,F,male,> 90K,
Automotive Service Worker,F,male,> 90K,
Manager IV,P,female,> 90K,
Firefighter,F,male,> 90K,
Firefighter,F,male,> 90K,
Parking Control Officer,F,male,> 90K,
Transit Operator,F,male,> 90K,
General Laborer,F,male,> 90K,
Automotive Service Worker,F,male,> 90K,
Transit Operator,F,male,> 90K,
Senior Administrative Analyst,F,male,> 90K,
Assistant Engineer,F,male,> 90K,
Assistant Engineer,F,male,> 90K,
Assoc Engineer,F,male,> 90K,
Deputy Sheriff (SFERS),F,male,> 90K,
Registered Nurse,P,female,> 90K,
Registered Nurse,P,female,> 90K,
Public SafetyComm Disp,F,female,> 90K,
Special Nurse,P,male,> 90K,
Transit Operator,F,male,> 90K,
Police Officer,F,male,> 90K,
Automotive Mechanic,F,male,> 90K,
Electrical Transit System Mech,F,male,> 90K,
Registered Nurse,P,male,> 90K,
Transit Operator,F,male,> 90K,
Stationary Engineer,F,male,> 90K,
Assistant Engineer,F,female,> 90K,
Police Officer,F,male,> 90K,
Police Officer,F,male,> 90K,
Senior Human Resources Analyst,F,male,> 90K,
Police Officer,F,male,> 90K,
Transit Car Cleaner,F,male,> 90K,
Transit Operator,F,male,> 90K,
Assistant Engineer,F,female,> 90K,
Stationary Eng Sewage Plant,F,male,> 90K,
Transit Operator,F,male,> 90K,
Registered Nurse,P,female,> 90K,
Transit Operator,F,female,> 90K,
Special Nurse,P,female,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,male,> 90K,
Police Officer,F,male,> 90K,
IS Business Analyst-Senior,F,female,> 90K,
Deputy Sheriff (SFERS),F,female,> 90K,
Automotive Service Worker,F,male,> 90K,
IS Business Analyst-Senior,F,male,> 90K,
Gardener,F,male,> 90K,
Transit Supervisor,P,male,> 90K,
Transit Operator,F,male,> 90K,
Police Officer,F,male,> 90K,
Automotive Mechanic,F,male,> 90K,
Transit Operator,F,male,> 90K,
Registered Nurse,P,female,> 90K,
Transit Car Cleaner,F,male,> 90K,
Firefighter,F,male,> 90K,
Assistant Engineer,F,male,> 90K,
Electrical Transit System Mech,F,male,> 90K,
Transit Operator,F,male,> 90K,
Librarian 1,F,male,> 90K,
Police Officer,F,male,> 90K,
Protective Services Worker,F,female,> 90K,
Stationary Engineer,F,male,> 90K,
Transit Operator,F,male,> 90K,
Licensed Vocational Nurse,F,female,> 90K,
Police Officer,F,male,> 90K,
Transit Operator,F,male,> 90K,
Police Officer 2,F,male,> 90K,
Police Officer,F,male,> 90K,
Transit Operator,F,male,> 90K,
Stationary Engineer,F,male,> 90K,
Automotive Service Worker,F,male,> 90K,
Transit Supervisor,F,male,> 90K,
Registered Nurse,P,female,> 90K,
Transit Operator,F,male,> 90K,
Stationary Eng Sewage Plant,F,male,> 90K,
Registered Nurse,P,male,> 90K,
Firefighter,F,male,> 90K,
Automotive Mechanic,F,male,> 90K,
Transit Operator,F,male,> 90K,
EMT/Paramedic/Firefighter,F,female,> 90K,
Assistant Engineer,F,male,> 90K,
Assistant Engineer,F,male,> 90K,
Transit Operator,F,male,> 90K,
Patient Care Assistant,F,female,> 90K,
Senior Human Resources Analyst,F,male,> 90K,
Transit Operator,F,male,> 90K,
Deputy Sheriff (SFERS),F,male,> 90K,
Stationary Eng Sewage Plant,F,male,> 90K,
Nurse Practitioner,P,female,> 90K,
Transit Operator,F,male,> 90K,
Protective Services Worker,F,female,> 90K,
Assistant Engineer,F,male,> 90K,
Special Nurse,P,male,> 90K,
Police Officer,F,male,> 90K,
Engineer,P,male,> 90K,
Transit Operator,F,male,> 90K,
Senior Administrative Analyst,F,male,> 90K,
Truck Driver,F,male,> 90K,
Firefighter,F,male,> 90K,
Public SafetyComm Disp,F,female,> 90K,
Stationary Engineer,F,male,> 90K,
Firefighter,F,male,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,male,> 90K,
Police Officer,F,male,> 90K,
Firefighter,F,female,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,female,> 90K,
Special Nurse,P,female,> 90K,
Transit Operator,F,male,> 90K,
Nursing Assistant,F,female,> 90K,
Transit Operator,F,male,> 90K,
Public SafetyComm Disp,F,male,> 90K,
Transit Operator,F,male,> 90K,
Administrative Analyst,F,female,> 90K,
IS Business Analyst-Senior,F,male,> 90K,
Protective Services Worker,F,female,> 90K,
Transit Operator,F,male,> 90K,
Electrical Transit System Mech,F,male,> 90K,
Special Nurse,P,female,> 90K,
Assoc Engineer,F,male,> 90K,
Firefighter,F,male,> 90K,
Manager I,F,female,> 90K,
Administrative Analyst,F,female,> 90K,
Transit Operator,F,male,> 90K,
General Laborer,F,female,> 90K,
Senior Administrative Analyst,F,male,> 90K,
Police Officer 2,F,male,> 90K,
Senior Human Resources Analyst,F,female,> 90K,
Stationary Engineer,F,male,> 90K,
Senior Administrative Analyst,F,female,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,male,> 90K,
Police Officer,F,male,> 90K,
Senior Human Resources Analyst,F,female,> 90K,
Electrician,F,male,> 90K,
General Laborer,F,male,> 90K,
Electrical Transit System Mech,F,male,> 90K,
Registered Nurse,P,female,> 90K,
Community Police Services Aide,F,female,> 90K,
Stationary Engineer,F,male,> 90K,
Registered Nurse,P,male,> 90K,
Registered Nurse,P,female,> 90K,
Firefighter,F,female,> 90K,
Senior Administrative Analyst,F,male,> 90K,
Pr Administrative Analyst,P,male,> 90K,
Transit Operator,P,male,> 90K,
Registered Nurse,P,female,> 90K,
Police Officer 2,F,male,> 90K,
Manager II,F,female,> 90K,
Automotive Service Worker,F,male,> 90K,
Behavioral Health Clinician,F,female,> 90K,
Police Officer,F,male,> 90K,
Transit Operator,F,female,> 90K,
Electrical Transit System Mech,F,male,> 90K,
Transit Operator,F,female,> 90K,
Police Officer,F,female,> 90K,
Transit Operator,F,male,> 90K,
Administrative Analyst,F,male,> 90K,
Police Officer,F,male,> 90K,
Police Officer,F,female,> 90K,
Transit Operator,F,male,> 90K,
Automotive Mechanic,F,male,> 90K,
Firefighter,F,male,> 90K,
Transit Operator,F,male,> 90K,
Behavioral Health Clinician,F,female,> 90K,
Police Officer,F,male,> 90K,
Registered Nurse,P,female,> 90K,
Transit Operator,F,male,> 90K,
Electrician,F,male,> 90K,
Protective Services Worker,F,female,> 90K,
Police Officer 2,F,female,> 90K,
Transit Operator,F,male,> 90K,
Stationary Engineer,F,male,> 90K,
Electrical Transit System Mech,F,male,> 90K,
Truck Driver,F,male,> 90K,
Electronic Maintenance Tech,F,male,> 90K,
Police Officer,F,male,> 90K,
Transit Supervisor,F,male,> 90K,
General Laborer,F,male,> 90K,
EMT/Paramedic/Firefighter,F,male,> 90K,
Deputy Sheriff,F,male,> 90K,
Protective Services Worker,F,female,> 90K,
Transit Operator,F,male,> 90K,
Transit Supervisor,F,male,> 90K,
Nursing Assistant,F,female,> 90K,
Electrical Transit System Mech,F,male,> 90K,
Automotive Mechanic,F,male,> 90K,
Senior Human Resources Analyst,F,female,> 90K,
Transit Supervisor,P,female,> 90K,
Automotive Mechanic,F,male,> 90K,
Transit Operator,F,male,> 90K,
Painter,F,male,> 90K,
Police Officer,F,male,> 90K,
Licensed Vocational Nurse,F,female,> 90K,
Transit Operator,F,male,> 90K,
Stationary Eng Sewage Plant,F,male,> 90K,
Transit Operator,F,male,> 90K,
Deputy Sheriff (SFERS),F,male,> 90K,
Manager II,F,male,> 90K,
Pr Administrative Analyst,F,male,> 90K,
Police Officer,F,male,> 90K,
Truck Driver,F,male,> 90K,
Transit Operator,F,male,> 90K,
Firefighter,F,male,> 90K,
Manager I,F,male,> 90K,
Licensed Vocational Nurse,F,female,> 90K,
Registered Nurse,P,female,> 90K,
Stationary Engineer,F,male,> 90K,
Public SafetyComm Disp,F,female,> 90K,
Transit Operator,F,male,> 90K,
Licensed Vocational Nurse,F,female,> 90K,
Police Officer,F,female,> 90K,
Assistant Engineer,F,male,> 90K,
Public SafetyComm Disp,F,female,> 90K,
Transit Operator,F,male,> 90K,
Protective Services Worker,F,female,> 90K,
Firefighter,F,male,> 90K,
Pr Administrative Analyst,F,male,> 90K,
Pr Administrative Analyst,F,male,> 90K,
IS Business Analyst-Senior,F,male,> 90K,
Electrical Transit System Mech,F,male,> 90K,
IS Business Analyst-Senior,F,male,> 90K,
Stationary Eng Sewage Plant,F,male,> 90K,
Licensed Vocational Nurse,F,male,> 90K,
Protective Services Worker,F,female,> 90K,
Deputy Sheriff,F,male,> 90K,
Attorney (Civil/Criminal),P,female,> 90K,
Automotive Service Worker,F,male,> 90K,
Pr Administrative Analyst,F,female,> 90K,
Manager I,F,female,> 90K,
Assoc Engineer,F,male,> 90K,
EMT/Paramedic/Firefighter,F,male,> 90K,
Registered Nurse,P,male,> 90K,
Police Officer,F,male,> 90K,
Transit Operator,F,male,> 90K,
Transit Supervisor,F,male,> 90K,
Deputy Sheriff (SFERS),F,female,> 90K,
Pr Administrative Analyst,F,female,> 90K,
Police Officer,F,male,> 90K,
Assoc Engineer,F,male,> 90K,
Sergeant 3,P,male,> 90K,
Police Officer,F,male,> 90K,
EMT/Paramedic/Firefighter,F,female,> 90K,
Pr Administrative Analyst,F,male,> 90K,
Stationary Eng Sewage Plant,F,male,> 90K,
Licensed Vocational Nurse,F,female,> 90K,
Police Officer 2,F,female,> 90K,
Electrical Transit System Mech,F,male,> 90K,
Registered Nurse,F,female,> 90K,
EMT/Paramedic/Firefighter,F,male,> 90K,
Pr Administrative Analyst,F,female,> 90K,
Stationary Eng Sewage Plant,F,male,> 90K,
Special Nurse,P,female,> 90K,
Manager IV,P,female,> 90K,
Special Nurse,P,female,> 90K,
Patient Care Assistant,F,female,> 90K,
Registered Nurse,P,female,> 90K,
Stationary Eng Sewage Plant,F,male,> 90K,
Deputy Sheriff,F,male,> 90K,
Assoc Engineer,F,male,> 90K,
Firefighter,F,male,> 90K,
Senior Human Resources Analyst,F,female,> 90K,
Senior Human Resources Analyst,F,female,> 90K,
Deputy Sheriff (SFERS),F,male,> 90K,
IS Business Analyst-Senior,F,female,> 90K,
EMT/Paramedic/Firefighter,F,male,> 90K,
Deputy Sheriff (SFERS),F,male,> 90K,
Manager I,F,male,> 90K,
Transit Supervisor,F,female,> 90K,
Senior Human Resources Analyst,F,female,> 90K,
Transit Operator,F,male,> 90K,
Transit Operator,F,male,> 90K,
Stationary Eng Sewage Plant,F,male,> 90K,
Deputy Sheriff (SFERS),F,female,> 90K,
Assoc Engineer,F,female,> 90K,
Police Officer 2,F,male,> 90K,
Painter,F,male,> 90K,
Firefighter,F,male,> 90K,
Transit Operator,F,male,> 90K,
Licensed Vocational Nurse,P,male,> 90K,
Special Nurse,F,female,> 90K,
Community Police Services Aide,F,female,> 90K,
Stationary Eng Sewage Plant,F,male,> 90K,
Registered Nurse,P,male,> 90K,
Firefighter,F,male,> 90K,
Transit Supervisor,F,female,> 90K,
Assoc Engineer,F,male,> 90K,
Senior Administrative Analyst,F,female,> 90K,
Registered Nurse,P,male,> 90K,
IS Business Analyst-Senior,F,female,> 90K,
Deputy Sheriff,F,female,> 90K,
Transit Operator,F,female,> 90K,
Transit Car Cleaner,F,male,> 90K,
Police Officer,F,male,> 90K,
Assoc Engineer,F,male,> 90K,
Electrical Transit System Mech,F,female,> 90K,
